,reference,latitude,longitude,date,year,description,hostility,victim,navArea,subreg
10,2022-126,22.166667,91.783333,2022-04-16,2022,"BANGLADESH: On 16 April, a robber boarded a tanker anchored at Chittagong Anchorage, near position 22-10N 091-47E. Duty crew members sighted the robber and raised the alarm. The crew searched the vessel and reported that the robber had escaped with 22 stolen drums of marine paint. The local authorities and coast guard conducted an investigation and the stolen items were later recovered.",No information,No information,VIII,63
11,2022-113,4.896319,-1.734681,2022-04-13,2022,"GHANA: On 13 April, at 0400 local time, a robber boarded a bulk carrier anchored in Takoradi Anchorage. The duty crew member spotted the robber and raised the alarm, after which the perpetrator escaped with four stolen buckets of marine paint. The incident was reported to the local authorities.",No information,Bulk carrier,II,57
12,2022-117,47.090511,37.580311,2022-04-12,2022,"UKRAINE: Prior to 12 April, crew members of three general cargo ships (Jamaica-flagged LADY AUGUSTA, Panama-flagged BLUE STAR I, and Malta-flagged AZOV CONCORD), berthed at the port of Mariupol, were taken off the ships by Russian forces. According to press reports, the ships have been in the port since 24 February. The crew members of the three vessels were reportedly taken to an undisclosed location.",Military activity,Three general cargo ships,III,55
13,2022-109,47.060667,37.511769,2022-04-11,2022,"UKRAINE: Prior to 11 April, crew members from the Liberia-flagged bulk carrier SMARTA were detained by the Russian military while berthed at the port of Mariupol. According to press reports, all 19 crew members (18 Ukrainians and one Egyptian) as well as the captain’s wife were detained and taken to an undisclosed location.",Military activity,Liberia-flagged bulk carrier SMARTA,III,55
14,2022-114,-6.0,106.9,2022-04-11,2022,"INDONESIA: On 11 April, three unauthorized personnel boarded a bulk carrier anchored in Jakarta Anchorage, near position 06-00S 106-54E. The duty crew members sighted the three perpetrators and raised the alarm. The crew mustered, conducted a search, and discovered that nothing was stolen. The incident was reported to the local authorities.",Boarding,Bulk carrier,XI,71
15,2022-115,22.216667,91.733333,2022-04-09,2022,"BANGLADESH: On 9 April, at 1400 local time, an unknown number of robbers boarded the Malta-flagged bulk carrier TAIZHOU PIONEER anchored at Chittagong Anchorage, near position 22-13N 091-44E. The robbers escaped unnoticed with an engine stolen from a fast rescue boat. The incident was reported to the local authorities.",No information,Malta-flagged bulk carrier TAIZHOU PIONEER,VIII,63
16,2022-116,21.466667,72.366667,2022-04-08,2022,"INDIA: On 8 April, at 2300 local time, an unknown number of robbers attempted to board a semi-submersible platform under tow in the Gulf of Khambhat, near position 21-28N 072-22E. The authorities reported that the vessel and all crew were safe. The vessel did not require assistance and continued her voyage.",No information,Semi-submersible platform under tow,VIII,63
17,2022-112,47.090381,37.580289,2022-04-08,2022,"UKRAINE: On 7 or 8 April, the Ukraine-flagged ice breaker KAPITAN BELOUSOV was fired upon while berthed at the port of Mariupol. According to press reports, one of the crew members was killed and several were injured during the attack. There is no further information available.",Military activity,Ukraine-flagged ice breaker KAPITAN BELOUSOV,III,55
18,2022-111,46.729069,38.255261,2022-04-08,2022,"SEA OF AZOV: On 8 April, at 2253 local time, the Malta-flagged general cargo ship APACHE was fired upon by Russian Navy and Coast Guard vessels while underway, after deviating from a convoy transiting from Taganrog Bay, eastern Sea of Azov, to the Kerch Strait. According to press reports, the vessel was in a convoy when she deviated her course towards Mariupol and was ordered by the Russian Navy to return to the convoy. After not complying, the Russian Navy and Coast Guard fired upon the vessel, which was struck on her stern. The master of the vessel then contacted the Russian Navy and Coast Guard to cease firing and agreed to rejoin the convoy. According to the Russian military, there were no casualties nor injuries to the crew members, and the vessel was escorted to the port of Yeysk, on the Sea of Azov, for investigation.",Military activity,Malta-flagged general cargo ship APACHE,III,55
19,2022-104,47.0883,37.580539,2022-04-04,2022,"UKRAINE: On 4 April, at 2240 local time, the Dominica-flagged general cargo ship AZBURG was shelled or struck by missiles while berthed at the port of Mariupol. Reports indicate the attack destroyed the ship’s bridge and hit the ship’s engine room, causing the ship to take on water. The captain ordered the crew to abandon ship. Ukraine’s maritime border guard assisted the wounded and evacuated the crew to safety. One of the 12 crew members was reported injured.",Military activity,Dominica-flagged general cargo ship AZBURG,III,55
20,2022-106,13.75,121.016667,2022-04-03,2022,"PHILIPPINES: On 3 April, at 0030 local time, five robbers boarded the Japan-flagged vehicle carrier PROCYON LEADER anchored in Batangas Anchorage, near position 13-45N 121-01E. The perpetrators climbed the anchor chain and managed to board through the gap on the secured hawse pipe of the vessel. After spotting the robbers, the duty crew alerted the bridge. The master raised the alarm, and the crew mustered. The robbers escaped with stolen ship’s properties upon hearing the alarm.",No information,Japan-flagged vehicle carrier PROCYON LEADER,XI,91
21,2022-105,1.516667,1.5,2022-04-03,2022,"GULF OF GUINEA: On 3 April, at 1848 local time, an unknown number of pirates boarded the Marshall Islands-flagged bulk carrier ARCH GABRIEL while underway approximately 275 NM south of Lome, Togo, near position 01-31N 001-30E. After alerting the authorities, all crew members took refuge in the vessel’s citadel. According to press reports, the Italian Navy frigate LUIGI RIZZO, which was approximately 280 NM from the drifting bulk carrier, responded to the distress signal sent by the vessel. On 4 April, a helicopter was dispatched from the frigate and contacted the crew members who were safely sheltered in the citadel. After the frigate arrived in the area, a team of Italian Navy Special Forces boarded and searched the bulk carrier, and confirmed that all pirates had fled the vessel. The crew members were released from the citadel, and all were reported safe. The frigate escorted the vessel into an anchorage area.",Boarding,Marshall Islands-flagged bulk carrier ARCH GABRIEL,II,57
22,2022-107,1.266667,104.25,2022-03-31,2022,"INDONESIA: On 31 March, at 0600 local time, six to seven robbers armed with knives boarded the Marshall Islands-flagged bulk carrier PACIFIC WEST while underway in the eastbound lane of the Singapore Strait Traffic Separation Scheme (TSS), near position 01-16N 104-15E. The perpetrators restrained one of the crew members in the engine room. The crew member managed to free himself, and reported the incident to the chief engineer. The alarm was raised and the robbers escaped with stolen engine spare parts. The ship and all crew were reported safe. The vessel did not require assistance and continued her voyage.",No information,Marshall Islands-flagged bulk carrier PACIFIC WEST,XI,71
23,2022-103,3.916667,98.766667,2022-03-25,2022,"INDONESIA: On 25 March, at 0420 local time, three robbers armed with knives boarded the Singapore-flagged bulk carrier LAMPARD, anchored in Belawan Anchorage, near position 03-55N 098-46E. The duty crew member first discovered the three robbers and raised the alarm, after which the crew mustered. After hearing the alarm, the perpetrators escaped with stolen ship’s property. The incident was reported to the local authorities.",No information,Singapore-flagged bulk carrier LAMPARD,XI,71
24,2022-96,54.55,11.2,2022-03-23,2022,"GERMANY: On 23 March, a group of 20 protesters onboard rubber boats, and swimming in the water with lifejackets, swarmed the Malta-flagged tanker ST AMOS while underway transiting from Ust-Luga, Russia, to Rotterdam, Netherlands, near position 54-33N 011-12E. According to press reports, these environmental activists were protesting against oil imports from Russia. The group painted the hull of the ST AMOS with ""oil fuel wars"" in large letters, demanding the suspension of oil transport from the Baltic Sea to western European ports.",Protesting,Malta-flagged tanker ST AMOS,I,44
25,2022-99,51.633333,3.983333,2022-03-20,2022,"NETHERLANDS: On 20 March, a group of protesters onboard small boats met the Malta-flagged tanker WAIKIKI while on its way to the port of Rotterdam, near position 51-38N 003-59E. According to press reports, environmental activists were protesting against oil imports from Russia. The tanker was loaded with 100,000 tons of crude oil.",Protesting,Malta-flagged tanker WAIKIKI,I,37
26,2022-98,51.316667,4.316667,2022-03-20,2022,"BELGIUM: On 20 March, a group of protesters onboard small boats swarmed the Liberia-flagged tanker SCF BALTICA while transiting to the port of Antwerp, near position 51-19N 004-19E. According to press reports environmental activists were protesting against oil imports from Russia. The group was holding banners and swimmers were also seen in front of the tanker. The tanker was loaded with 85,000 tons of fuel oil.",Protesting,Liberia-flagged tanker SCF BALTICA,I,37
27,2022-97,57.65,10.633333,2022-03-20,2022,"DENMARK: On 20 March, a group of protesters onboard small boats came alongside the Greece-flagged tanker DELTA PIONEER while anchored at Kattegat, near position 57-39N 010-38E. According to press reports, these environmental activists were protesting against oil imports from Russia. The group painted ""oil is war"" on the hull of the DELTA PIONEER in large letters. The ship has offloaded its cargo and remains at anchor.",Protesting,Greece-flagged tanker DELTA PIONEER,I,44
28,2022-95,41.1145,-71.7452,2022-03-20,2022,"UNITED STATES OF AMERICA: On 20 March, a group of protesters onboard small boats circled two tankers, the Greece flagged MINERVA VIRGO and the Liberia-flagged CONFIDENCE, on their way to the anchorage area of Ambrose Bay, New York. According to press reports, environmental activists were protesting against oil imports from Russia.",Protesting,Two tankers underway,IV,13
29,2022-94,6.4528,3.3793,2022-03-19,2022,"NIGERIA: On 19 March, at 0445 local time, robbers boarded a bulk carrier berthed in port of Lagos. The duty crew member discovered that the lock on the forecastle store was breached. The robbers escaped with an undetermined amount of paints. The investigation revealed that the robbers cut the anti-boarding razor wire on the vessel's waterside to board and escape the vessel.",No information,Bulk carrier,II,57
30,2022-108,15.266667,-82.833333,2022-03-18,2022,"HONDURAS: On 18 March, at 1000 local time, five robbers boarded an underway yacht 25 NM off the Honduran coast, near position 15-16N 082-50W. The yacht, with two crewmembers onboard, was in transit from San Andres, Colombia, to Roatan, Honduras, when they were approached by a small boat with six persons onboard. Five people boarded the yacht; the crew of the yacht, working from a previously agreed piracy plan, complied with the robbers’ demands. The robbers departed after 30 minutes onboard with cash, a laptop, a portable VHF, binoculars, sunglasses, and alcohol. The yacht continued her voyage without further incident.",No information,Underway yacht,IV,28
31,2022-93,22.233333,91.833333,2022-03-15,2022,"BANGLADESH: On 15 March, at 2255 local time, six unauthorized personnel boarded a chemical tanker berthed at Chittagong, CUFL jetty, near position 22-14N 091-50E. The duty crew member sighted the six robbers near the forecastle store and raised the alarm. After hearing the alarm, the perpetrators escaped with stolen ship’s stores. The local authorities and the coast guard were contacted and conducted an investigation. The stolen items were later recovered and returned to the ship by the authorities.",No information,Chemical tanker,VIII,63
32,2022-84,-12.033333,-77.2,2022-03-13,2022,"PERU: On 13 March, at 2000 local time, seven robbers armed with knives boarded a container vessel anchored at Callao Anchorage, near position 12-02S 077-12W. The alarm was raised, the crew were mustered, and, upon hearing the alarm, the perpetrators escaped with stolen ship's stores and properties. The incident was reported to the local authorities who boarded the vessel and conducted an investigation.",No information,Container vessel,XVI,22
33,2022-102,46.946,32.003,2022-03-12,2022,"UKRAINE: Prior to 12 March, crew members of four bulk carriers (Marshall Islands-flagged BOLTEN ITHAKI, Liberia-flagged MARIKA, and Panama-flagged ITHACA PROSPECT and FILIA JOY) and the Singapore-flagged tanker MTM RIO GRANDE, berthed at the port of Mykolayiv, were evacuated. According to press reports, the crew members were transported to Hungary, where they were met by consular officers and ship’s company representatives for repatriation.",Military activity,Four bulk carriers,III,55
34,2022-101,46.622,31.024,2022-03-12,2022,"UKRAINE: Prior to 12 March, crew members of three bulk carriers (Marshall Islands-flagged STAR LAURA, Panama-flagged FILIA GLORY, and Liberia-flagged BONITA), berthed at the port of Yuzhnyi, were evacuated. According to press reports, the crew members were transported to Hungary, where they were met by consular officers and ship’s company representatives for repatriation.",Military activity,Three bulk carriers,III,55
35,2022-100,46.4948,30.7469,2022-03-12,2022,"UKRAINE: Prior to 12 March, crew members of three bulk carriers (Marshall Islands-flagged RIVA WIND, Cayman Islands-flagged PUMA, and Liberia-flagged POLAR STAR), berthed at the port of Odessa, were evacuated. According to press reports, the crew members were transported to Hungary, where they were met by consular officers and ship’s company representatives for repatriation.",Military Activity,Three bulk carriers,III,55
36,2022-85,-12.016667,-77.2,2022-03-12,2022,"PERU: On 12 March, at 2000 local time, robbers boarded the Panama-flagged vehicle carrier ARIES LEADER anchored at Callao Anchorage, near position 12-01S 077-12W. The robbers escaped unnoticed with stolen ship’s property.",No information,Panama-flagged vehicle carrier ARIES LEADER,XVI,22
37,2022-110,45.319439,28.8605,2022-03-11,2022,"UKRAINE: On 11 April, the Ukraine-flagged seagoing tug SAPFIR arrived in the port of Izmayil, Ukraine after being released by the Russian Navy. The Russian Navy previously intercepted and detained the SAPFIR in the vicinity of Snake Island. According to press reports, the vessel’s crew members were released on 25 March.",Military activity,Ukraine-flagged seagoing tug SAPFIR,III,55
38,2022-86,-12.0,-77.216667,2022-03-10,2022,"PERU: On 10 March, at 0300 local time, seven robbers armed with knives boarded the Marshall Islands-flagged bulk carrier DAIDO AMBITION anchored at Callao Anchorage, near position 12-00S 077-13W. The robbers took advantage of foggy weather conditions to board the vessel and restrain the on-duty crew member. When the duty officer received no response after trying to contact the on-duty crew member, the alarm was raised, and the crew were mustered. After hearing the alarm, the perpetrators released the restrained crew member and escaped into a small boat with stolen ship's stores. The incident was reported to the local authorities.",No information,Marshall Islands-flagged bulk carrier DAIDO AMBITI,XVI,22
39,2022-91,46.946714,32.003072,2022-03-09,2022,"UKRAINE: (Late Reporting) Prior to 9 March, crew members were evacuated from the Liberia-flagged bulk carrier STAR PAVLINA berthed at the port of Nikolayev. According to press reports, the evacuation was facilitated by multiple embassies in coordination with Ukrainian port authorities. The seafarers were transported to their respective consular offices for repatriation.",Military activity,Liberia-flagged bulk carrier STAR PAVLINA,III,55
40,2022-90,46.6216,31.0242,2022-03-09,2022,"UKRAINE: (Late Reporting) Prior to 9 March, crew members were evacuated from the Marshall Islands-flagged bulk carrier GLOBAL AGLAIA berthed in the port of Yuzhnyi. According to press reports, the evacuation was facilitated by multiple embassies in coordination with Ukrainian port authorities. The seafarers were transported to their respective consular offices for repatriation.",Military activity,Marshall Islands-flagged bulk carrier GLOBAL AGLAI,III,55
41,2022-89,46.5041,30.7318,2022-03-09,2022,"UKRAINE: (Late Reporting) Prior to 9 March, crew members were evacuated from the Hong Kong-flagged container ship JOSEPH SCHULTE berthed at the Brooklyn-Kyiv container terminal. According to press reports, the evacuation was facilitated by multiple embassies in coordination with Ukrainian port authorities. The seafarers were transported to their respective consular offices for repatriation.",Military activity,Hong Kong-flagged container ship JOSEPH SCHULTE,III,55
42,2022-88,45.25,30.2,2022-03-09,2022,"UKRAINE: (Update) On 9 March, the Russian Navy reportedly moved the Ukraine-flagged seagoing tug SAPFIR to Sevastopol. This follows its seizure by the Russians on 26 February in the vicinity of Snake Island, near position 45-15N 030-12E.",Military activity,Ukraine-flagged seagoing tug SAPFIR,III,55
43,2022-77,46.616667,31.016667,2022-03-08,2022,"UKRAINE: On 8 March, a total of 40 crew members of four bulk carriers berthed at the port of Yuzhnyi, near position 46-37N 031-01E were evacuated. The four bulk carriers involved were: the Greece-flagged MARAN ASTRONOMER, the Malta-flagged MARAN EXCELLENCE, the Panama-flagged NORD VIRGO, and the Marshall Islands-flagged OCEAN COURTESY. According to press reports, Ukrainian border guards facilitated the evacuation of the crew members from the four vessels and were transported to their respective consular offices for repatriation.",Military Activity,Four bulk carriers,III,55
44,2022-92,46.3155,30.671,2022-03-06,2022,"UKRAINE: (Late Reporting) Between 27 February and 6 March, crew members were evacuated from three bulk carriers berthed at the port of Illichivsk. The three bulk carriers were: Liberia-flagged S BREEZE and KEY KNIGHT, and the Marshall Islands-flagged STAR HELENA. According to press reports, multiple embassies, ship owners and ship operators coordinated with Ukrainian port authorities to facilitate the evacuations. The seafarers were transported to their respective consular offices for repatriation.",Military activity,Three bulk carriers,III,55
45,2022-87,18.318372,-64.791969,2022-03-05,2022,"US VIRGIN ISLANDS: On 5 March, at 0000 local time, the United States-flagged sailing vessel BLUE ROSE was stolen while berthed at St. John, Great Cruz Bay. The sailing vessel was unmanned and unlocked when it was stolen from the port. The incident was reported to the local authorities and a coordinated search is being conducted. The owner of the vessel has offered a reward of $25,000 (USD) for information leading to recovery.",Vessel stolen,United States-flagged sailing vessel BLUE ROSE,IV,25
46,2022-80,1.25,104.066667,2022-03-04,2022,"INDONESIA: On 4 March, at 0025 local time, five unauthorized personnel were sighted in the accommodation deck of the India-flagged bulk carrier MAHA JACQUELINE underway in the eastbound lane of the Singapore Strait Traffic Separation Scheme (TSS), near position 01-15N 104-04E. After being detected, the five perpetrators escaped empty-handed. The incident was reported to the local authorities. The ship and all crew were reported safe, and the vessel continued her voyage.",Boarding,India-flagged bulk carrier MAHA JACQUELINE,XI,71
47,2022-79,46.366667,31.066667,2022-03-03,2022,"UKRAINE: (Update) On 3 March, the Panama-flagged general cargo ship HELT sunk 23 NM southeast of Odessa, near position near 46-22N 031-04E. According to press reports, the ship struck a mine that caused a hole below the hull waterline and sunk bow first. It was first reported that two crew members were seen onboard the lifeboat and four were missing. Later press reports state that all of the six crew members were rescued and safe. Previous reports indicate that the ship was intercepted and reportedly used as a shield by the Russian Navy while underway to the port of Chornomorsk.",Military activity,Panama-flagged general cargo ship HELT,III,55
48,2022-78,46.678,31.925,2022-03-03,2022,"UKRAINE: (Update) On 3 March, the Bangladesh-flagged bulk carrier BANGLAR SAMRIDDHI was abandoned at Olvia Anchorage, Mykolaiv port area. Missiles struck the ship on 2 March, which caused a fire onboard and inflicted serious damage to the vessel’s bridge and accommodations. One of the 29 crew members died during the attack. The remaining 28 crew members abandoned ship and were ferried from the anchorage area to a safer location. According to the latest press reports on 6 March, the 28 crew members made it to Romania and their repatriation to Bangladesh was being arranged by the Bangladesh embassy in Bucharest.",Military activity,Bangladesh-flagged bulk carrier BANGLAR SAMRIDDHI,III,55
49,2022-64,1.25,104.066667,2022-03-02,2022,"INDONESIA: On 2 March, at 0210 local time, three unauthorized personnel armed with an axe and an iron bar boarded the Malta-flagged bulk carrier FLECHA underway in the eastbound lane of the Singapore Strait TSS, near position 01-15N 104-04E. The three robbers were sighted in the emergency generator room and immediately escaped. Reports indicate that the ship and all crew were safe and nothing was stolen.",Boarding,Malta-flagged bulk carrier FLECHA,XI,71
50,2022-63,1.233333,104.05,2022-03-02,2022,"INDONESIA: On 2 March, at 0230 local time, four robbers armed with an axe and an iron bar boarded the underway Panama-flagged bulk carrier PENTA in the eastbound lane of the Singapore Strait TSS, near position 01-14N 104-03E. The four perpetrators were spotted in the engine room. After the alarm was raised, the crew mustered and searched the vessel. Following the incident, the ship returned to Singapore for further search and investigation. The Singaporean authorities later reported that the perpetrators were no longer onboard and nothing was stolen. The ship and all crew were reported safe, and the vessel continued her voyage.",Boarding,Panama-flagged bulk carrier PENTA,XI,71
51,2022-62,1.233333,104.0,2022-03-02,2022,"INDONESIA: On 2 March, at 0530 local time, six unauthorized personnel boarded the Panama-flagged tanker DAISY 2 while underway in the eastbound lane of the Singapore Strait Traffic Separation Scheme (TSS), near position 01-14N 104-00E. The six perpetrators were spotted in the engine room. Subsequently, the alarm was raised, the crew mustered and they searched the vessel. It was reported that the ship and all crew were safe and nothing was stolen.",Boarding,Panama-flagged tanker DAISY 2,XI,71
52,2022-70,46.047369,30.717381,2022-03-02,2022,"UKRAINE: On 2 March, the Panama-flagged general cargo ship HELT according to press reports, was intercepted and used as a shield by the Russian Navy while underway to the port of Chornomorsk, Ukraine. The vessel is reported to have sank off Odessa on 3 March.",Military activity,Panama-flagged general cargo ship HELT,III,55
53,2022-69,46.678522,31.92725,2022-03-02,2022,"UKRAINE: On 2 March, at 1725 local time, the Bangladesh-flagged bulk carrier BANGLAR SAMRIDDHI was struck by a missile while anchored at Olvia Anchorage, Mykolaiv port area. The ship’s superstructure caught fire as a result of the missile strike. Two rescue tugs responded and assisted the vessel. One of the 29 crew members reportedly died during the attack. The local authorities were helping to move the vessel to a safer location.",Military activity,Bangladesh-flagged bulk carrier BANGLAR SAMRIDDHI,III,55
54,2022-65,1.033333,103.633333,2022-02-28,2022,"INDONESIA: On 28 February, at 0435 local time, three robbers armed with knives boarded the Bahamas-flagged bulk carrier AFRICAN MERLIN underway in the eastbound lane of the Singapore Strait TSS, near position 01-02N 103-38E. The three perpetrators were sighted on the main deck. After the alarm was raised, the crew mustered and searched the vessel. The robbers escaped with stolen engine spare parts. The incident was reported to the local authorities.",No information,Bahamas-flagged bulk carrier AFRICAN MERLIN,XI,71
55,2022-61,-12.016667,-77.183333,2022-02-28,2022,"PERU: On 28 January, at 0210 local time, seven robbers armed with guns and knives boarded the Marshall Islands-flagged bulk carrier STH OSLO anchored at Callao Anchorage, near position 12-01S 077-11W. One of the duty crew was doing his rounds when the robbers subdued and restrained him. The duty officer, after receiving no response from the roving crew on the radio, sent another duty crew to check. The duty crew raised the alarm upon discovering the robbers, after which the crew mustered and searched the ship. The robbers escaped with stolen ship’s stores. The incident was reported to the local authorities, who subsequently conducted an investigation.",No information,Marshall Islands-flagged bulk carrier STH OSLO,XVI,22
56,2022-81,-4.0,105.966667,2022-02-27,2022,"INDONESIA: On 27 January, at 1433 local time, one perpetrator armed with two handguns boarded the underway Indonesia-flagged fishing vessel KM MULYA JAYA RC in the waters of Sungai Pinang District, South Sumatra, near position 04-00S 105-58E. After threatening the crew at gunpoint, the robber accidentally slipped and fell overboard. The captain contacted the local police who responded and arrested the perpetrator.",Threatening the crew at gunpoint,Indonesia-flagged fishing vessel KM MULYA JAYA RC,XI,71
57,2022-71,45.256786,30.191375,2022-02-27,2022,"UKRAINE: On 27 February, at 0200 local time, the Ukraine-flagged seagoing tug SAPFIR was intercepted and detained by the Russian Navy in the vicinity of Snake Island. The condition of the vessel and crew after the detention were unknown.",Military activity,Ukraine-flagged seagoing tug SAPFIR,III,55
58,2022-66,1.05,103.683333,2022-02-26,2022,"INDONESIA: On 26 February, at 0240 local time, five unauthorized personnel were discovered on the stern deck of the Panama-flagged bulk carrier ROYAL JADE underway in the eastbound lane of the Singapore TSS, near position 01-03N 103-41E. The alarm was raised and the crew mustered. After hearing the alarm, the five robbers escaped into a small boat. A set of welding equipment was reported stolen. The incident was reported to the local authorities. The ship and all the crew were reported safe and did not require any assistance.",No information,Panama-flagged bulk carrier ROYAL JADE,XI,71
59,2022-73,45.213025,30.163222,2022-02-26,2022,"UKRAINE: On 26 February, the Russian Navy intercepted and stopped the Ukraine-flagged bulk carrier PRINCESS NICOLE while underway from Ukraine to the port of Constanta, Romania southwest of Snake Island. The vessel was later escorted to Crimean waters and was detained 56 NM northwest of Sevastopol.",Military activity,Ukraine-flagged bulk carrier PRINCESS NICOLE,III,55
60,2022-72,45.213025,30.163222,2022-02-26,2022,"UKRAINE: On 26 February, the Russian Navy intercepted and stopped the Ukraine-flagged bulk carrier AFINA while underway from port of Nikolayev, Ukraine to the port of Constanta, Romania 22 NM off Snake Island. The vessel was later escorted to Crimean waters and was detained 56 NM northwest of Sevastopol.",Military activity,Ukraine-flagged bulk carrier AFINA,III,55
61,2022-67,1.25,104.133333,2022-02-25,2022,"INDONESIA: On 25 February, at 0240 local time, two unauthorized personnel were sighted in the engine room of the Liberia-flagged tanker BW CHEETAH underway in the eastbound lane of the Singapore Strait TSS, near position 01-15N 104-08E. The two perpetrators made their escape through the engine room skylight. The crew mustered and searched the vessel. It was reported that a set of compressors for charging compressed air bottles was stolen. The ship and all the crew were reported safe. The incident was reported to the local authorities.",No information,Liberia-flagged tanker BW CHEETAH,XI,71
62,2022-75,46.588889,31.026189,2022-02-25,2022,"UKRAINE: On 25 February, the Panama-flagged bulk carrier NAMURA QUEEN was hit by a rocket while in the anchorage area of Yuzhniy port. According to press reports, the vessel was on its way to the port when its superstructure was hit inflicting serious damages and causing a fire onboard. The crew members immediately extinguished the fire. At least two crew members suffered minor injuries but all were reported safe.",Military activity,Panama-flagged bulk carrier NAMURA QUEEN,III,55
