reference,date,position,navArea,subreg,hostility,victim,description,
2022-137,2022-05-20,"0°58'18""N
105°07'00""E",XI,71,Boarding,Bulk Carrier,"201950Z MAY. 00-58.3N 105-07.0E. FOUR PERSONS ARMED WITH MACHETES BOARDED A BULK CARRIER UNDERWAY. ALARM RAISED, SSAS ACTIVATED, AND NON-ESSENTIAL CREW LOCKED THEMSELVES IN THEIR CABINS. AUTHORITIES INFORMED.  THE PERSONS ATTEMPTED TO GAIN ACCESS INTO THE MASTERS CABIN BUT FAILED. LATER, THE CREW GATHERED AND MADE A SEARCH THROUGHOUT THE SHIP. NO PERSONS WERE FOUND ONBOARD, AND NOTHING REPORTED STOLEN. THE SHIP CONTINUED HER PASSAGE.",
2022-144,2022-05-19,"1°13'00""N
103°29'00""E",XI,71,,Malaysia-flagged barge SINHIN 6 and tug SINHIN 5,"MALAYSIA: On 19 May, at 1345 local time, four robbers boarded the Malaysia-flagged barge SINHIN 6 towed by the Malaysia-flagged tug SINHIN 5 in the westbound lane of the Singapore Strait Traffic Separation Scheme (TSS), near position 01-13N 103-29E. The master was initially contacted by the Republic of Singapore Navy about a sampan in the vicinity of the tug. After the notification, the crewmembers sighted the four perpetrators onboard the barge. The robbers later escaped with stolen scrap metal. All crew were reported safe and the tugboat continued towing the barge to its destination. The master reported the incident to the local authorities.",
2022-139,2022-05-19,"6°58'00""N
58°02'00""W",IV,24,Boarding,Bahamas-flagged bulk carrier CS CANDY,"GUYANA: On 19 May, at 0030 local time, five robbers armed with knives boarded the Bahamas-flagged bulk carrier CS CANDY anchored at Georgetown Anchorage, near position 06-58N 058-02W. The duty crew spotted the robbers and was threatened with knives, but escaped. The alarm was raised and the crew mustered, after which the perpetrators escaped empty-handed. The incident was reported to the local authorities.",
2022-134,2022-05-19,"14°19'00""N
42°42'00""E",IX,62,,,"YEMEN: On 19 May, at 1100 local time, there were three unsuccessful boarding attempts against an underway sailing vessel approximately 32 NM southwest of Al Hudaydah, near position 14-19N 042-42E. Three small boats were in close proximity during the incident. The vessel and crew were reported safe and sailed away from the area.",
2022-150,2022-05-17,"3°26'00""N
112°25'00""E",XI,71,,Unmanned oil platform,"MALAYSIA: On 17 May, at 1030 local time, an unmanned oil platform was boarded and robbed approximately 43 NM northwest of Bintulu Port, near position 03-26N 112-25E. A fishing vessel with seven persons onboard was seen by the Malaysian Maritime Enforcement Agency (MMEA) patrol vessel moving away from the platform. The MMEA patrol vessel pursued, intercepted, and boarded the fishing vessel. In a search of the vessel, the MMEA personnel discovered items stolen from the oil platform, including cable ropes, satellite phones, and communication radios. The seven suspects and the vessel were arrested and detained at the Bintulu MMEA station for further investigation.",
2022-136,2022-05-17,"6°01'00""S
106°55'00""E",XI,71,Boarding,Container ship,"INDONESIA: On 17 May, at 2215 local time, an unknown number of robbers boarded a container vessel anchored in Jakarta Anchorage, near position 06-01S 106-55E. The duty officer sighted an unlit small boat at the ship’s astern, and at the same time, the steering room door alarm went off. The general alarm was raised, the crew mustered, and the vessel was searched. According to reports, the perpetrators escaped empty-handed. The incident was reported to the local authorities.",
2022-135,2022-05-17,"11°51'00""N
45°03'00""E",IX,62,,,"GULF OF ADEN: On 17 May, at 1950 local time, an underway tanker reported a suspicious approach by two skiffs approximately 65 NM south of Aden, Yemen, near position 11-51N 045-03E. The tanker executed evasive maneuvers and eventually the two skiffs left the area. The two skiffs reportedly approached to within 100 meters. The vessel and crew were reported safe.",
2022-133,2022-05-12,"1°10'00""N
103°25'00""E",XI,71,Boarding,,"INDONESIA: On 12 May, at 0118 local time, three robbers boarded an underway tanker in the eastbound lane of the Singapore Strait Traffic Separation Scheme (TSS), near position 01-10N 103-25E. The robbers escaped after being discovered in the ship’s engine room. It was reported that nothing was stolen, all crew were safe, and the vessel continued her voyage.",
2022-141,2022-05-10,"4°33'00""N
7°12'00""E",II,57,,,"NIGERIA: On 10 May, an unknown number of pirates intercepted and boarded a passenger boat transiting Bonny River towards Port Harcourt, near position 04-33N 007-12E. Seven male passengers were kidnapped and taken to an undisclosed location. According to press reports, on 17 May, after ten days of captivity, the seven kidnapped passengers were rescued by the Nigerian Navy while held in a camp at Bayelsa State. The seven victims were reported unharmed.",
2022-130,2022-05-06,"5°50'00""S
13°25'00""E",II,57,,,"DEMOCRATIC REPUBLIC OF THE CONGO: On 6 May, at 2030 local time, three robbers boarded a general cargo ship berthed in the port of Matadi, near position 05-50S 013-25E. The robbers escaped with stolen ship’s properties. The incident was reported to the local authorities.",
2022-132,2022-05-05,"13°19'00""N
60°14'00""E",IX,63,,,"ARABIAN SEA: On 5 May, 0630 local time, an underway tanker reported a suspicious approach by two small boats each with four persons onboard, approximately 335 NM east of Socotra, Yemen, near position 13-19N 060-14E. The two small boats approached to within a half NM of the tanker while a larger vessel and small crafts were also seen nearby. The tanker increased her speed and the small boats eventually left the area. The crew were reported safe and the tanker continued her voyage.",
2022-129,2022-05-03,"46°50'50.6""N
31°58'05.56""E",III,55,Military activity,Singapore-flagged tanker MTM RIO GRANDE,"On 3 May, the Singapore-flagged tanker MTM RIO GRANDE was struck by a shell while berthed at the port of Nika-Tera, Mykolayiv. According to press reports, the vessel was indirectly hit during Russian shelling of the port. The vessel has been in the port, where it was scheduled to load sunflower oil, since 24 February; the ship has been unable to load cargo or leave as a result of the war in Ukraine. According to earlier press reports, the vessel’s crew were evacuated prior to 12 March.",
2022-131,2022-05-02,"4°45'00""S
11°49'00""E",II,57,,Hydrographic vessel,"REPUBLIC OF THE CONGO: On 2 May, at 0233 local time, a small boat with two people onboard approached a hydrographic vessel anchored at Pointe Noire Anchorage, near position 04-45S 011-49E. The suspicious individuals were casting their flashlights on the vessel, and came within 100 meters when they were noticed by the security team onboard. After being spotted, the two people left the area.",
2022-127,2022-04-28,"13°43'00""N
121°02'00""E",XI,91,,Marshall Islands-flagged tanker SEXTANS,"PHILIPPINES: On 28 April, at 0345 local time, three robbers boarded the Marshall Islands-flagged tanker SEXTANS anchored in Batangas Anchorage, near position 13-43N 121-02E. The duty crew sighted the robbers in the forecastle deck. The alarm was raised, and the crew were mustered. The perpetrators escaped with stolen buckets of grease, a bundle of rope, and hatch butterfly nuts. The incident was reported to the local authorities.",
2022-124,2022-04-27,"1°16'00""N
104°17'00""E",XI,71,Boarding,Bulk carrier,"INDONESIA On 27 April, at 0226 local time, a robber was spotted in the engine room of a bulk carrier underway in the eastbound lane of the Singapore Strait Traffic Separation Scheme (TSS), near position 01-16N 104-17E. It was reported that the ship and all crew members were safe and nothing was stolen.",
2022-121,2022-04-26,"0°04'00""S
51°06'00""W",V,24,Boarding,Bulk carrier,"BRAZIL: On 26 April, at 0400 local time, three robbers boarded a bulk carrier anchored at Macapa Anchorage, near position 00-04S 051-06W. The duty crew member spotted the robbers. The alarm was raised, and the crew were mustered, after which the perpetrators escaped empty-handed.",
2022-128,2022-04-26,"22°13'00""N
91°43'00""E",VIII,63,,Singapore-flagged tanker STI MAGISTER,"BANGLADESH: On 26 April, at 0001 local time, a group of robbers boarded the Singapore-flagged tanker STI MAGISTER anchored in the outer Chittagong Anchorage near position 22-13N 091-43E. The duty officer sighted four robbers on the forecastle deck through the vessel’s closed circuit television system. The duty officer raised the alarm and the crew mustered. After the alarm was sounded, three more robbers were seen exiting the forecastle store. Subsequently, crew members saw about eight robbers escaping into a small boat. The vessel was searched, and the forecastle store door lock was found breached and a set of accommodation ladder wire rope was missing. The incident was reported to the local authorities and the coast guard boarded the vessel to conduct an investigation.",
2022-122,2022-04-25,"59°19'00""N
10°30'00""E",I,44,Protest,Hong Kong-flagged tanker UST LUGA,"NORWAY: On the morning of 25 April, a group of protesters onboard small boats and kayaks came alongside the Hong Kong-flagged tanker UST LUGA while anchored at Skagerrak, near position 59-19N 010-30E. According to press reports, the group was protestinq against oil imports from Russia. Activists onboard one of the small boats chained themselves to the ship's anchor chain to prevent the ship from raising its anchor, While others in kayaks unfurled banners readinq ""oil fuels war"". The vessel was loaded with 95,000 tons of crude oil from the port of Ust-Luga, Russia. The local police and coast guard came to monitor the situation. Reports indicate that the vessel later berthed at the port of Slagen at 1800 local time the same day.",
2022-118,2022-04-19,"1°13'00""N
103°53'00""E",XI,71,Boarding,Tug and barge,"SINGAPORE: On 19 April, at 2230 local time, the Singapore Police Coast Guard (PCG) arrested nine robbers who had boarded a barge towed by a tug boat in the westbound lane of the Singapore Strait Traffic Separation Scheme (TSS), in the vicinity of Kusu Island near position 01-13N 103-53E. The PCG spotted a suspicious sampan alongside the barge and conducted an investigation, which led to the arrest of eight perpetrators onboard the barge as well as one of the tug boat crew members who had colluded with the robbers.",
2022-125,2022-04-19,"10°15'00""N
80°06'00""E",VIII,63,,Three fishing vessels,"INDIA: On 19 April, around 2100 local time, three fishing boats were boarded and robbed while fishing within 13 NM east-southeast of Nagapattinam, state of Tamil Nadu, near position 10-15N 080-06E, According to press reports, items stolen in the three Incidents included GPS devices, mobile phones, inverter batteries, fishing gear, and diesel fuel. The three incidents were reported to Vedaranyam Marine police.",
2022-119,2022-04-18,"6°05'00""N
125°09'00""E",XI,92,Boarding,Singapore-flagged container ship KOTA HAPAS,"PHILIPPINES: On 18 April, at 0305 local time, an unknown number of robbers boarded the Singapore-flagged container ship KOTA HAPAS, anchored in General Santos Anchorage, near position 06-05N 125-09E. The perpetrators escaped empty-handed and the incident was reported to the local authorities.",
2022-123,2022-04-18,"47°05'16.84""N
37°34'46.24""E",III,55,Military activity,Malta-flagged bulk carrier TZAREVNA,"UKRAINE: Prior to 18 April, crew members were evacuated from the Malta-flagged bulk carrier TZAREVNA berthed at the part of Mariupol, According to press reports, the 15 seafarers (14 Bulgarian and one Ukrainian) traveled by bus from Mariupol to Sochi, Russia, where they were flown by a Bulgarian plane to Varna, Bulgaria. Bulgarian authorities reportedly facilitated the evacuation and coordinated With both Ukrainian and Russian authorities. Five remaining crew members opted to stay onboard the vessel.",
2022-120,2022-04-16,"1°14'00""N
103°58'00""E",XI,71,Boarding,Malta-flagged tanker MEGALI,"INDONESIA: On 16 April, at 0442 local time, a robber boarded the Malta-flagged tanker MEGALI underway in the eastbound lane of the Singapore Strait TSS, near position 01-14N 103-58E. The perpetrator was sighted at the engine room entrance. The alarm was raised and a search was conducted. It was reported that the ship and all crew members were safe and nothing was stolen.",
2022-126,2022-04-16,"22°10'00""N
91°47'00""E",VIII,63,,,"BANGLADESH: On 16 April, a robber boarded a tanker anchored at Chittagong Anchorage, near position 22-10N 091-47E. Duty crew members sighted the robber and raised the alarm. The crew searched the vessel and reported that the robber had escaped with 22 stolen drums of marine paint. The local authorities and coast guard conducted an investigation and the stolen items were later recovered.",
2022-113,2022-04-13,"4°53'46.75""N
1°44'04.85""W",II,57,,Bulk carrier,"GHANA: On 13 April, at 0400 local time, a robber boarded a bulk carrier anchored in Takoradi Anchorage. The duty crew member spotted the robber and raised the alarm, after which the perpetrator escaped with four stolen buckets of marine paint. The incident was reported to the local authorities.",
2022-117,2022-04-12,"47°05'25.84""N
37°34'49.12""E",III,55,Military activity,Three general cargo ships,"UKRAINE: Prior to 12 April, crew members of three general cargo ships (Jamaica-flagged LADY AUGUSTA, Panama-flagged BLUE STAR I, and Malta-flagged AZOV CONCORD), berthed at the port of Mariupol, were taken off the ships by Russian forces. According to press reports, the ships have been in the port since 24 February. The crew members of the three vessels were reportedly taken to an undisclosed location.",
2022-109,2022-04-11,"47°03'38.4""N
37°30'42.37""E",III,55,Military activity,Liberia-flagged bulk carrier SMARTA,"UKRAINE: Prior to 11 April, crew members from the Liberia-flagged bulk carrier SMARTA were detained by the Russian military while berthed at the port of Mariupol. According to press reports, all 19 crew members (18 Ukrainians and one Egyptian) as well as the captain’s wife were detained and taken to an undisclosed location.",
2022-114,2022-04-11,"5°60'00""S
106°54'00""E",XI,71,Boarding,Bulk carrier,"INDONESIA: On 11 April, three unauthorized personnel boarded a bulk carrier anchored in Jakarta Anchorage, near position 06-00S 106-54E. The duty crew members sighted the three perpetrators and raised the alarm. The crew mustered, conducted a search, and discovered that nothing was stolen. The incident was reported to the local authorities.",
2022-115,2022-04-09,"22°13'00""N
91°44'00""E",VIII,63,,Malta-flagged bulk carrier TAIZHOU PIONEER,"BANGLADESH: On 9 April, at 1400 local time, an unknown number of robbers boarded the Malta-flagged bulk carrier TAIZHOU PIONEER anchored at Chittagong Anchorage, near position 22-13N 091-44E. The robbers escaped unnoticed with an engine stolen from a fast rescue boat. The incident was reported to the local authorities.",
2022-116,2022-04-08,"21°28'00""N
72°22'00""E",VIII,63,,Semi-submersible platform under tow,"INDIA: On 8 April, at 2300 local time, an unknown number of robbers attempted to board a semi-submersible platform under tow in the Gulf of Khambhat, near position 21-28N 072-22E. The authorities reported that the vessel and all crew were safe. The vessel did not require assistance and continued her voyage.",
2022-112,2022-04-08,"47°05'25.37""N
37°34'49.04""E",III,55,Military activity,Ukraine-flagged ice breaker KAPITAN BELOUSOV,"UKRAINE: On 7 or 8 April, the Ukraine-flagged ice breaker KAPITAN BELOUSOV was fired upon while berthed at the port of Mariupol. According to press reports, one of the crew members was killed and several were injured during the attack. There is no further information available.",
2022-111,2022-04-08,"46°43'44.65""N
38°15'18.94""E",III,55,Military activity,Malta-flagged general cargo ship APACHE,"SEA OF AZOV: On 8 April, at 2253 local time, the Malta-flagged general cargo ship APACHE was fired upon by Russian Navy and Coast Guard vessels while underway, after deviating from a convoy transiting from Taganrog Bay, eastern Sea of Azov, to the Kerch Strait. According to press reports, the vessel was in a convoy when she deviated her course towards Mariupol and was ordered by the Russian Navy to return to the convoy. After not complying, the Russian Navy and Coast Guard fired upon the vessel, which was struck on her stern. The master of the vessel then contacted the Russian Navy and Coast Guard to cease firing and agreed to rejoin the convoy. According to the Russian military, there were no casualties nor injuries to the crew members, and the vessel was escorted to the port of Yeysk, on the Sea of Azov, for investigation.",
2022-104,2022-04-04,"47°05'17.88""N
37°34'49.94""E",III,55,Military activity,Dominica-flagged general cargo ship AZBURG,"UKRAINE: On 4 April, at 2240 local time, the Dominica-flagged general cargo ship AZBURG was shelled or struck by missiles while berthed at the port of Mariupol. Reports indicate the attack destroyed the ship’s bridge and hit the ship’s engine room, causing the ship to take on water. The captain ordered the crew to abandon ship. Ukraine’s maritime border guard assisted the wounded and evacuated the crew to safety. One of the 12 crew members was reported injured.",
2022-106,2022-04-03,"13°45'00""N
121°01'00""E",XI,91,,Japan-flagged vehicle carrier PROCYON LEADER,"PHILIPPINES: On 3 April, at 0030 local time, five robbers boarded the Japan-flagged vehicle carrier PROCYON LEADER anchored in Batangas Anchorage, near position 13-45N 121-01E. The perpetrators climbed the anchor chain and managed to board through the gap on the secured hawse pipe of the vessel. After spotting the robbers, the duty crew alerted the bridge. The master raised the alarm, and the crew mustered. The robbers escaped with stolen ship’s properties upon hearing the alarm.",
2022-105,2022-04-03,"1°31'00""N
1°30'00""E",II,57,Boarding,Marshall Islands-flagged bulk carrier ARCH GABRIEL,"GULF OF GUINEA: On 3 April, at 1848 local time, an unknown number of pirates boarded the Marshall Islands-flagged bulk carrier ARCH GABRIEL while underway approximately 275 NM south of Lome, Togo, near position 01-31N 001-30E. After alerting the authorities, all crew members took refuge in the vessel’s citadel. According to press reports, the Italian Navy frigate LUIGI RIZZO, which was approximately 280 NM from the drifting bulk carrier, responded to the distress signal sent by the vessel. On 4 April, a helicopter was dispatched from the frigate and contacted the crew members who were safely sheltered in the citadel. After the frigate arrived in the area, a team of Italian Navy Special Forces boarded and searched the bulk carrier, and confirmed that all pirates had fled the vessel. The crew members were released from the citadel, and all were reported safe. The frigate escorted the vessel into an anchorage area.",
2022-107,2022-03-31,"1°16'00""N
104°15'00""E",XI,71,,Marshall Islands-flagged bulk carrier PACIFIC WEST,"INDONESIA: On 31 March, at 0600 local time, six to seven robbers armed with knives boarded the Marshall Islands-flagged bulk carrier PACIFIC WEST while underway in the eastbound lane of the Singapore Strait Traffic Separation Scheme (TSS), near position 01-16N 104-15E. The perpetrators restrained one of the crew members in the engine room. The crew member managed to free himself, and reported the incident to the chief engineer. The alarm was raised and the robbers escaped with stolen engine spare parts. The ship and all crew were reported safe. The vessel did not require assistance and continued her voyage.",
2022-103,2022-03-25,"3°55'00""N
98°46'00""E",XI,71,,Singapore-flagged bulk carrier LAMPARD,"INDONESIA: On 25 March, at 0420 local time, three robbers armed with knives boarded the Singapore-flagged bulk carrier LAMPARD, anchored in Belawan Anchorage, near position 03-55N 098-46E. The duty crew member first discovered the three robbers and raised the alarm, after which the crew mustered. After hearing the alarm, the perpetrators escaped with stolen ship’s property. The incident was reported to the local authorities.",
2022-96,2022-03-23,"54°33'00""N
11°12'00""E",I,44,Protesting,Malta-flagged tanker ST AMOS,"GERMANY: On 23 March, a group of 20 protesters onboard rubber boats, and swimming in the water with lifejackets, swarmed the Malta-flagged tanker ST AMOS while underway transiting from Ust-Luga, Russia, to Rotterdam, Netherlands, near position 54-33N 011-12E. According to press reports, these environmental activists were protesting against oil imports from Russia. The group painted the hull of the ST AMOS with ""oil fuel wars"" in large letters, demanding the suspension of oil transport from the Baltic Sea to western European ports.",
2022-99,2022-03-20,"51°38'00""N
3°59'00""E",I,37,Protesting,Malta-flagged tanker WAIKIKI,"NETHERLANDS: On 20 March, a group of protesters onboard small boats met the Malta-flagged tanker WAIKIKI while on its way to the port of Rotterdam, near position 51-38N 003-59E. According to press reports, environmental activists were protesting against oil imports from Russia. The tanker was loaded with 100,000 tons of crude oil.",
2022-98,2022-03-20,"51°19'00""N
4°19'00""E",I,37,Protesting,Liberia-flagged tanker SCF BALTICA,"BELGIUM: On 20 March, a group of protesters onboard small boats swarmed the Liberia-flagged tanker SCF BALTICA while transiting to the port of Antwerp, near position 51-19N 004-19E. According to press reports environmental activists were protesting against oil imports from Russia. The group was holding banners and swimmers were also seen in front of the tanker. The tanker was loaded with 85,000 tons of fuel oil.",
2022-97,2022-03-20,"57°39'00""N
10°38'00""E",I,44,Protesting,Greece-flagged tanker DELTA PIONEER,"DENMARK: On 20 March, a group of protesters onboard small boats came alongside the Greece-flagged tanker DELTA PIONEER while anchored at Kattegat, near position 57-39N 010-38E. According to press reports, these environmental activists were protesting against oil imports from Russia. The group painted ""oil is war"" on the hull of the DELTA PIONEER in large letters. The ship has offloaded its cargo and remains at anchor.",
2022-95,2022-03-20,"41°06'52.2""N
71°44'42.72""W",IV,13,Protesting,Two tankers underway,"UNITED STATES OF AMERICA: On 20 March, a group of protesters onboard small boats circled two tankers, the Greece flagged MINERVA VIRGO and the Liberia-flagged CONFIDENCE, on their way to the anchorage area of Ambrose Bay, New York. According to press reports, environmental activists were protesting against oil imports from Russia.",
2022-94,2022-03-19,"6°27'10.08""N
3°22'45.48""E",II,57,,Bulk carrier,"NIGERIA: On 19 March, at 0445 local time, robbers boarded a bulk carrier berthed in port of Lagos. The duty crew member discovered that the lock on the forecastle store was breached. The robbers escaped with an undetermined amount of paints. The investigation revealed that the robbers cut the anti-boarding razor wire on the vessel's waterside to board and escape the vessel.",
2022-108,2022-03-18,"15°16'00""N
82°50'00""W",IV,28,,Underway yacht,"HONDURAS: On 18 March, at 1000 local time, five robbers boarded an underway yacht 25 NM off the Honduran coast, near position 15-16N 082-50W. The yacht, with two crewmembers onboard, was in transit from San Andres, Colombia, to Roatan, Honduras, when they were approached by a small boat with six persons onboard. Five people boarded the yacht; the crew of the yacht, working from a previously agreed piracy plan, complied with the robbers’ demands. The robbers departed after 30 minutes onboard with cash, a laptop, a portable VHF, binoculars, sunglasses, and alcohol. The yacht continued her voyage without further incident.",
2022-93,2022-03-15,"22°14'00""N
91°50'00""E",VIII,63,,Chemical tanker,"BANGLADESH: On 15 March, at 2255 local time, six unauthorized personnel boarded a chemical tanker berthed at Chittagong, CUFL jetty, near position 22-14N 091-50E. The duty crew member sighted the six robbers near the forecastle store and raised the alarm. After hearing the alarm, the perpetrators escaped with stolen ship’s stores. The local authorities and the coast guard were contacted and conducted an investigation. The stolen items were later recovered and returned to the ship by the authorities.",
2022-84,2022-03-13,"12°02'00""S
77°12'00""W",XVI,22,,Container vessel,"PERU: On 13 March, at 2000 local time, seven robbers armed with knives boarded a container vessel anchored at Callao Anchorage, near position 12-02S 077-12W. The alarm was raised, the crew were mustered, and, upon hearing the alarm, the perpetrators escaped with stolen ship's stores and properties. The incident was reported to the local authorities who boarded the vessel and conducted an investigation.",
2022-102,2022-03-12,"46°56'45.6""N
32°00'10.8""E",III,55,Military activity,Four bulk carriers,"UKRAINE: Prior to 12 March, crew members of four bulk carriers (Marshall Islands-flagged BOLTEN ITHAKI, Liberia-flagged MARIKA, and Panama-flagged ITHACA PROSPECT and FILIA JOY) and the Singapore-flagged tanker MTM RIO GRANDE, berthed at the port of Mykolayiv, were evacuated. According to press reports, the crew members were transported to Hungary, where they were met by consular officers and ship’s company representatives for repatriation.",
2022-101,2022-03-12,"46°37'19.2""N
31°01'26.4""E",III,55,Military activity,Three bulk carriers,"UKRAINE: Prior to 12 March, crew members of three bulk carriers (Marshall Islands-flagged STAR LAURA, Panama-flagged FILIA GLORY, and Liberia-flagged BONITA), berthed at the port of Yuzhnyi, were evacuated. According to press reports, the crew members were transported to Hungary, where they were met by consular officers and ship’s company representatives for repatriation.",
2022-100,2022-03-12,"46°29'41.28""N
30°44'48.84""E",III,55,Military Activity,Three bulk carriers,"UKRAINE: Prior to 12 March, crew members of three bulk carriers (Marshall Islands-flagged RIVA WIND, Cayman Islands-flagged PUMA, and Liberia-flagged POLAR STAR), berthed at the port of Odessa, were evacuated. According to press reports, the crew members were transported to Hungary, where they were met by consular officers and ship’s company representatives for repatriation.",
2022-85,2022-03-12,"12°01'00""S
77°12'00""W",XVI,22,,Panama-flagged vehicle carrier ARIES LEADER,"PERU: On 12 March, at 2000 local time, robbers boarded the Panama-flagged vehicle carrier ARIES LEADER anchored at Callao Anchorage, near position 12-01S 077-12W. The robbers escaped unnoticed with stolen ship’s property.",
2022-110,2022-03-11,"45°19'09.98""N
28°51'37.8""E",III,55,Military activity,Ukraine-flagged seagoing tug SAPFIR,"UKRAINE: On 11 April, the Ukraine-flagged seagoing tug SAPFIR arrived in the port of Izmayil, Ukraine after being released by the Russian Navy. The Russian Navy previously intercepted and detained the SAPFIR in the vicinity of Snake Island. According to press reports, the vessel’s crew members were released on 25 March.",
2022-86,2022-03-10,"12°00'00""S
77°13'00""W",XVI,22,,Marshall Islands-flagged bulk carrier DAIDO AMBITI,"PERU: On 10 March, at 0300 local time, seven robbers armed with knives boarded the Marshall Islands-flagged bulk carrier DAIDO AMBITION anchored at Callao Anchorage, near position 12-00S 077-13W. The robbers took advantage of foggy weather conditions to board the vessel and restrain the on-duty crew member. When the duty officer received no response after trying to contact the on-duty crew member, the alarm was raised, and the crew were mustered. After hearing the alarm, the perpetrators released the restrained crew member and escaped into a small boat with stolen ship's stores. The incident was reported to the local authorities.",
